rang;ville;vol_love_room;vol_chambre_jacuzzi;vol_total;kd_moyen;nb_kw_love
185;dinard;140;0;140;8;1
186;dreux;140;0;140;13;1
187;istres;140;0;140;16;2
188;meaux;140;0;140;12;2
189;menton;140;0;140;21;2
190;merignac;140;0;140;14;1
191;montargis;140;0;140;16;1
192;montlucon;140;0;140;25;1
193;niederbronn;140;0;140;14;2
194;pornic;140;0;140;19;1
195;rivesaltes;140;0;140;17;1
196;saint lo;140;0;140;31;1
197;sete;140;0;140;6;1
198;soissons;140;0;140;25;1
199;tourcoing;140;0;140;8;2
200;tournus;140;0;140;22;2
201;versailles;140;0;140;13;1
202;vierzon;140;0;140;5;2
203;vitre;140;0;140;9;1
204;voiron;140;0;140;14;1
205;auriol;140;0;140;23;3
206;saint valentin;110;870;980;8;1
207;ajaccio;110;40;150;16;1
208;le puy-en-velay;110;40;150;12;1
209;chinon;110;30;140;4;1
210;saint raphael;110;30;140;29;1
211;bourgoin jallieu;110;20;130;12;1
212;miramas;110;20;130;20;1
213;allauch;110;0;110;18;2
214;cagnes mer;110;0;110;11;1
215;charlieu;110;0;110;22;2
216;ferney voltaire;110;0;110;14;1
217;granville;110;0;110;13;1
218;le grau-du-roi;110;0;110;17;1
219;guerande;110;0;110;6;1
220;hagondange;110;0;110;18;1
221;haguenau;110;0;110;13;1
222;landerneau;110;0;110;11;1
223;langon;110;0;110;15;1
224;lannion;110;0;110;14;1
225;laon;110;0;110;11;1
226;lons saunier;110;0;110;6;1
227;manosque;110;0;110;11;1
228;marmande;110;0;110;13;1
229;martigne ferchaud;110;0;110;11;1
230;maubeuge;110;0;110;13;1
231;miniac morvan;110;0;110;19;1
232;mont-de-marsan;110;0;110;6;1
233;montbrison;110;0;110;7;1
234;morlaix;110;0;110;11;1
235;orgon;110;0;110;13;2
236;pont mousson;110;0;110;16;1
237;rambouillet;110;0;110;6;1
238;roquebrune argens;110;0;110;14;1
239;vernon;110;0;110;27;1
240;vitrolles;110;0;110;30;1
241;mougins;110;0;110;19;3
242;l'isle-sur-la-sorgue;90;50;140;19;1
243;beaucaire;90;40;130;19;1
244;gap;90;20;110;7;1
245;amberieu bugey;90;0;90;19;1
246;anglet;90;0;90;11;1
247;aurillac;90;0;90;10;1
248;avranches;90;0;90;16;1
249;belleville;90;0;90;8;1
250;brignoles;90;0;90;9;1
251;brumath;90;0;90;16;1
252;chateau thierry;90;0;90;13;1
253;chateauneuf martigues;90;0;90;15;1
254;concarneau;90;0;90;16;1
255;dol bretagne;90;0;90;12;1
256;fontenay comte;90;0;90;8;1
257;forbach;90;0;90;14;2
258;gruissan;90;0;90;11;1
259;henin beaumont;90;0;90;6;1
260;isigny mer;90;0;90;17;1
261;issoire;90;0;90;10;1
262;jonzac;90;0;90;14;1
263;jujurieux;90;0;90;35;1
264;langres;90;0;90;10;1
265;limoux;90;0;90;18;1
266;muret;90;0;90;9;1
267;obernai;90;0;90;9;1
268;orange;90;0;90;26;1
269;pacy eure;90;0;90;8;1
270;pamiers;90;0;90;20;1
271;parthenay;90;0;90;10;1
272;plan cuques;90;0;90;17;3
273;pontivy;90;0;90;19;1
274;quimperle;90;0;90;11;1
275;romans;90;0;90;10;1
276;roubaix;90;0;90;4;1
277;saint avold;90;0;90;22;1
278;saint brevin;90;0;90;9;1
279;saint die;90;0;90;9;1
280;saint dizier;90;0;90;31;1
281;saint vit;90;0;90;19;1
282;saujon;90;0;90;28;1
283;saverne;90;0;90;22;1
284;sedan;90;0;90;19;1
285;selestat;90;0;90;11;1
286;souchez;90;0;90;30;1
287;valognes;90;0;90;20;1
288;verneuil avre;90;0;90;19;1
289;villeurbanne;90;0;90;14;1
